ratio,sol_nodes_num,sol_nodes_ratio_origin,sol_nodes_ratio,remain_ratio_origin,remain_ratio
0.16,973,0.809484193,0.909532801,0.812186978,0.912569638
0.16,940,0.78202995,0.878685337,0.785296575,0.882355702
0.16,950,0.790349418,0.888033054,0.792988314,0.890998106
0.16,947,0.787853577,0.885228738,0.792468619,0.890414179
0.16,972,0.808652246,0.908598029,0.813389121,0.913920361
0.16,955,0.794509151,0.892706911,0.797827903,0.896435846
0.16,950,0.790349418,0.888033054,0.792326939,0.890254988
0.16,962,0.800332779,0.899250313,0.803675856,0.90300658
0.16,949,0.789517471,0.887098282,0.794142259,0.892294673
0.16,959,0.797836938,0.896445998,0.80318258,0.902452337
0.16,980,0.81530782,0.916076202,0.822147651,0.923761406
0.16,940,0.78202995,0.878685337,0.784641068,0.881619178
0.16,964,0.801996672,0.901119856,0.8053467,0.904883933
0.16,953,0.792845258,0.890837369,0.79748954,0.896055663
0.16,971,0.8078203,0.907663258,0.811194653,0.911454666
0.16,951,0.791181364,0.888967825,0.795150502,0.89342753
0.16,956,0.795341098,0.893641683,0.797331109,0.895877651
0.16,961,0.799500832,0.898315542,0.802840434,0.902067903
0.16,972,0.808652246,0.908598029,0.812030075,0.912393343
0.16,959,0.797836938,0.896445998,0.80318258,0.902452337
0.16,961,0.799500832,0.898315542,0.802170284,0.901314926
0.16,972,0.808652246,0.908598029,0.813389121,0.913920361
0.16,947,0.787853577,0.885228738,0.79180602,0.889669685
0.16,942,0.783693844,0.880554881,0.787625418,0.88497238
0.16,958,0.797004992,0.895511227,0.80167364,0.900756899
0.16,958,0.797004992,0.895511227,0.798999166,0.897751872
0.16,945,0.786189684,0.883359196,0.790133779,0.887790763
0.16,958,0.797004992,0.895511227,0.803691275,0.903023904
0.16,974,0.81031614,0.910467573,0.813700919,0.914270696
0.16,934,0.77703827,0.873076708,0.780284043,0.876723644
0.16,967,0.804492512,0.903924171,0.807852966,0.907699962
0.16,953,0.792845258,0.890837369,0.798157454,0.896806128
0.16,941,0.782861897,0.879620109,0.788107203,0.885513711
0.16,952,0.792013311,0.889902597,0.793333333,0.891385767
0.16,958,0.797004992,0.895511227,0.80167364,0.900756899
