	sample	Activated CD8 T cell	Central memory CD8 T cell	Effector memeory CD8 T cell	Activated CD4 T cell	Central memory CD4 T cell	Effector memeory CD4 T cell	T follicular helper cell	Gamma delta T cell	Type 1 T helper cell	Type 17 T helper cell	Type 2 T helper cell	Regulatory T cell	Activated B cell	Immature  B cell	Memory B cell	Natural killer cell	CD56bright natural killer cell	CD56dim natural killer cell	Myeloid derived suppressor cell	Natural killer T cell	Activated dendritic cell	Plasmacytoid dendritic cell	Immature dendritic cell	Macrophage	Eosinophil	Mast cell	Monocyte	Neutrophil	group
21	GSM3615314	0.333477188620978	0.392681252191344	0.248421801442508	-0.0916501751206372	0.523948742216558	0.0216593877253837	0.139879885286951	0.410929135822379	0.163324185195964	-0.0856788687070617	0.00436840249624773	0.277090681652545	-0.246348052578562	-0.0118076811026259	0.0440978543826428	0.337641562297617	0.286647696853868	0.37711210390158	0.334917649462772	0.0583345734530909	0.221570412126904	0.376273739561693	0.374295207090046	0.168418875216936	-0.269684026271012	0.000309984233430463	0.588715972116981	-0.212164363808297	NASH
22	GSM3615315	0.250081902586047	0.338468876452015	0.206080002889907	-0.148254896320115	0.497554830903835	-0.00480275269124189	0.0658517667123258	0.362344920721372	0.101504417410869	-0.0507989359546041	-0.0192059416284299	0.0998680959303159	-0.368281624062289	-0.147192592893576	-0.0346992975719738	0.259082399957145	0.24031891104213	0.37237641401589	0.154811816873103	-0.0200755778742658	0.19626659843136	0.35748748702063	0.348482254761509	0.0975361509650573	-0.326164445527576	-0.155298854298564	0.575402625360337	-0.351840056376486	NASH
23	GSM3615316	0.293653723960723	0.349740657242024	0.212692697580741	-0.126368901002061	0.533257920823549	0.00168407323897084	0.133441327726408	0.398518711823152	0.142282902928726	-0.0817467530561048	-0.00632703620667505	0.167550733515986	-0.315814828318931	-0.0524867341496301	0.0283815410929263	0.310422229788062	0.226412954570616	0.402389142702368	0.274748557578597	0.0251801614106409	0.203764308556921	0.354204656923008	0.34442193664364	0.118049064507456	-0.29958553773483	-0.067000807323	0.576529467445254	-0.309142574231868	NASH
24	GSM3615317	0.381291142782832	0.385480707543901	0.238865162693943	-0.0613950934348372	0.55265757257124	0.0309202911678464	0.1407741633415	0.401920596049499	0.17720155250199	-0.0745095537721465	0.00447268094303178	0.230433911174914	-0.169855518726694	0.00578733470965632	-0.0459455413640642	0.337268448765131	0.26133312974058	0.424517668950289	0.384840262547418	0.100488746630626	0.258731061756627	0.402401200880996	0.399566440979048	0.191890795994598	-0.326982638281434	-0.0493620175628165	0.58261312985806	-0.209611679509158	NASH
25	GSM3615318	0.290631700929299	0.370428504251807	0.187374015890541	-0.117993872088636	0.489488895650187	-0.0329040858557677	0.0901325167475943	0.389402136954369	0.14683315220938	-0.0225458844565368	-0.0121127077527335	0.125080349474484	-0.304050291045733	-0.0800932302162741	-0.00441040080399599	0.281125623713797	0.255102546133903	0.399723761608049	0.203160178948811	0.0297956976187714	0.217458066097569	0.370749372906735	0.332175881055815	0.122848848945471	-0.35795772715687	-0.152564744526488	0.573251675636217	-0.308567966982629	NASH
26	GSM3615319	0.306235341461533	0.348871954144837	0.186551117421086	-0.0749980623297885	0.502569723245374	-0.00842948092198676	0.097748122881255	0.371977543811728	0.125878005782266	-0.0198762288035909	0.00374250184784348	0.173331471875988	-0.271837663706117	-0.0954135626687202	0.0392611195116433	0.318997440251236	0.250368093376407	0.393235306346298	0.232657630364264	-0.00430949211619681	0.228177456998795	0.356334135474914	0.342329100518152	0.129055548774381	-0.296173942196684	-0.0614216988864766	0.576105765113283	-0.237264388262386	NASH
27	GSM3615320	0.255202413009101	0.363231471682623	0.192539867326792	-0.122485215251249	0.505555790325398	0.00136125718619798	0.0901931336521595	0.35624961436455	0.129325826596225	-0.0519177709162238	-0.00382959571901521	0.218003265177315	-0.283013113208229	-0.0965883428951057	0.0508023411417647	0.299303889821623	0.249777354678218	0.391583189035683	0.233260895327747	0.0123961735012096	0.199984231569364	0.382947914814845	0.332945571258985	0.132789926438871	-0.307867790268336	-0.0505308311337798	0.587107616450405	-0.249580915661531	NASH
28	GSM3615321	0.301775349308752	0.39757117642591	0.251952773013009	-0.0548916668571685	0.546586545897978	0.0102783784025191	0.166124012431908	0.414679938437181	0.15489324825432	-0.045962098988368	0.00703082634972604	0.31629265257683	-0.265818631966645	-0.0113898500136187	0.0235224011821147	0.34338328194288	0.250275310114079	0.416357989022929	0.361813656776193	0.0740218762271029	0.247108166069022	0.406319336255331	0.37820087487282	0.234498069032219	-0.273415380294779	-0.0306124418631356	0.594061275690709	-0.241097175568103	NASH
29	GSM3615323	0.291689046901226	0.346828551465218	0.209693953729504	-0.0624053257569393	0.499810847710012	0.0300445325635434	0.0607887609385591	0.352016615232209	0.129607952528199	-0.0684221892174293	-0.00863622663715818	0.186011332629227	-0.360904905837554	-0.0832843086896203	-0.0593631478620423	0.284344472728252	0.235506063175263	0.433611786911427	0.233870733451703	0.012823864992653	0.200622103784317	0.368073271599549	0.350401317949142	0.129818753862192	-0.346273198707706	-0.0455640457802322	0.588474819382154	-0.298029835843296	NASH
30	GSM3615324	0.218427022192227	0.407089664794227	0.202535458631636	-0.190463949085187	0.503018184174892	-0.00461814671486211	0.138525168285794	0.346043881537212	0.115803168595483	-0.0478523134461478	0.00446950585292865	0.287244252730512	-0.239008494597358	-0.0279686306358327	0.048563958367818	0.346805380496779	0.273519730134217	0.39809796229805	0.2500307195356	0.0121546084726396	0.182378707683344	0.381544674658318	0.338609584810462	0.193583528402934	-0.287103689005663	-0.0827733607444069	0.603157992068014	-0.182661956817523	Control
