#Protein A	Protein B
506	3172
506	4149
506	4719
506	5018
506	5340
506	6045
506	6606
506	6872
506	7385
506	7412
506	7433
506	7434
506	7531
506	8452
506	10075
506	23197
506	29119
506	29956
506	64805
506	140456
506	222484
535	920
535	3117
535	3964
535	4162
535	4841
535	6872
535	7879
535	57707
535	81929
535	84548
535	90273
540	3172
540	3240
540	7704
540	56104
558	867
558	1956
558	2885
558	3561
558	3932
558	5295
558	5335
558	6714
558	7301
558	8503
558	54206
570	2064
570	4089
570	5795
570	6714
570	10395
575	2064
575	6641
575	10207
583	635
583	801
583	2034
583	27241
583	55212
583	79888
590	957
590	1667
590	4253
590	5796
590	6504
590	23022
590	23196
590	79869
590	92345
594	4149
594	6872
594	8452
594	10013
594	23197
594	23395
607	6872
607	51741
629	718
629	721
629	2335
629	3172
629	5199
629	10577
629	11269
629	89970
633	1605
633	7040
633	7097
633	7099
634	817
634	1084
634	1956
634	3172
634	3690
634	5777
634	6714
634	9702
634	10332
634	30835
634	84868
635	3172
642	1558
642	3984
642	7874
642	8450
642	8924
642	22919
642	22983
642	26003
642	56121
644	5578
644	5579
644	5580
644	7094
644	27131
644	51449
644	64805
644	114880
661	10623
661	11128
661	55703
661	84838
661	254225
667	801
667	865
667	1017
667	1951
667	2885
667	3691
667	5062
667	7014
667	7289
667	8139
667	8826
667	9467
667	10419
667	22919
667	23043
667	27185
667	55763
667	57670
667	283420
673	2203
673	3984
673	5058
673	5062
673	5257
673	5562
673	5578
673	5594
673	5604
673	5908
673	6196
673	7531
673	8315
673	8826
673	8844
673	10000
673	22930
686	3172
686	4149
686	4642
686	5796
686	6872
686	23046
689	1459
689	3172
689	3428
689	5062
689	6872
689	7189
689	9641
689	27250
689	116840
689	153241
695	867
695	868
695	2207
695	2534
695	2549
695	2782
695	2885
695	2969
695	3030
695	3055
695	3059
695	3190
695	3716
695	3815
695	4067
695	4088
695	4233
695	4719
695	4775
695	5305
695	5335
695	5336
695	5578
695	5579
695	5587
695	5588
695	5594
695	6196
695	6777
695	6850
695	6872
695	7099
695	7409
695	7454
695	8396
695	8503
695	8863
695	9183
695	9467
695	10163
695	10320
695	10333
695	11059
695	22926
695	29760
695	51311
695	54331
695	55114
695	79837
695	80306
695	84254
695	114609
695	118788
695	123920
712	713
712	714
712	715
712	716
712	1378
712	2335
712	3273
712	10114
712	22918
713	714
713	715
713	1667
713	2335
713	3273
714	2335
715	716
715	1457
715	2033
715	5105
715	51279
716	2335
716	3172
716	8030
716	9734
718	719
718	727
718	1378
718	1604
718	2335
718	2638
718	3075
718	3172
718	3684
718	3689
718	5199
718	5648
718	7052
718	7579
718	10877
718	10878
718	11269
718	11326
718	81494
718	81609
719	720
719	1896
719	6542
719	23326
719	29956
719	55219
719	84197
719	201164
719	201562
719	253782
719	285966
719	643853
719	653519
720	721
720	1378
720	2335
720	3172
720	3964
720	81609
720	100506658
721	722
721	1378
721	3172
721	5648
722	2335
722	2969
722	3172
722	3929
722	5627
722	6602
722	9815
722	53826
727	728
727	729
727	732
727	1361
727	11281
728	5578
728	5579
728	5580
728	7454
729	2335
729	2534
729	2885
729	9733
729	10724
731	732
731	735
732	3172
735	2335
744	7025
744	10320
747	815
747	7851
747	112616
752	960
752	2040
752	2313
752	2317
752	2547
752	4008
752	5514
752	6749
752	7094
752	7416
752	7520
752	8522
752	8563
752	10487
752	11198
752	23380
752	55114
752	79026
752	79913
752	83892
780	1000
780	3667
780	4071
780	5335
780	6196
780	10783
780	11165
780	84254
780	100506164
801	815
801	817
801	867
801	1457
801	1459
801	1612
801	1741
801	1956
801	2778
801	2869
801	2885
801	2969
801	3551
801	3707
801	3717
801	3781
801	4008
801	4057
801	4077
801	4149
801	4284
801	4638
801	4651
801	5066
801	5105
801	5116
801	5257
801	5289
801	5708
801	5724
801	5786
801	5899
801	5903
801	6045
801	6192
801	6210
801	6329
801	6402
801	6548
801	6667
801	6801
801	6850
801	6872
801	7052
801	7133
801	7178
801	7189
801	7222
801	7402
801	7433
801	7531
801	8450
801	8452
801	8454
801	8826
